ticker,intervalo,tipo_padrao,data_inicio,data_fim,preco_cabeca,data_cabeca
ETH-USD,1d,OCO,2025-05-22 00:00:00,2025-06-04 00:00:00,2672.64,2025-05-28 00:00:00
ETH-USD,1d,OCOI,2024-06-29 00:00:00,2024-07-18 00:00:00,2974.06,2024-07-08 00:00:00
ETH-USD,1d,OCO,2024-05-22 00:00:00,2024-06-02 00:00:00,3866.13,2024-05-28 00:00:00
ETH-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-30 00:00:00,3335.14,2024-03-23 00:00:00
ETH-USD,1d,OCOI,2023-12-12 00:00:00,2023-12-26 00:00:00,2189.89,2023-12-20 00:00:00
ETH-USD,1d,OCOI,2023-02-25 00:00:00,2023-03-16 00:00:00,1433.91,2023-03-10 00:00:00
ETH-USD,1d,OCO,2022-09-29 00:00:00,2022-10-18 00:00:00,1357.48,2022-10-05 00:00:00
ETH-USD,1d,OCO,2022-07-29 00:00:00,2022-08-25 00:00:00,1969.29,2022-08-13 00:00:00
ETH-USD,1d,OCO,2021-04-06 00:00:00,2021-04-22 00:00:00,2477.11,2021-04-15 00:00:00
ETH-USD,1d,OCOI,2020-09-06 00:00:00,2020-10-31 00:00:00,332.81,2020-09-23 00:00:00
ETH-USD,1d,OCO,2018-04-24 00:00:00,2018-05-14 00:00:00,804.22,2018-05-06 00:00:00
ETH-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,2642.76,2025-06-16 16:00:00
ETH-USD,4h,OCO,2025-04-12 16:00:00,2025-04-19 20:00:00,1654.75,2025-04-14 08:00:00
ETH-USD,4h,OCOI,2025-01-16 20:00:00,2025-01-20 00:00:00,3208.64,2025-01-19 08:00:00
ETH-USD,4h,OCOI,2024-11-13 20:00:00,2024-11-17 20:00:00,3032.00,2024-11-15 16:00:00
ETH-USD,4h,OCOI,2023-11-15 00:00:00,2023-11-22 00:00:00,1927.69,2023-11-17 16:00:00
SOL-USD,1d,OCOI,2025-05-20 00:00:00,2025-06-14 00:00:00,146.23,2025-06-06 00:00:00
SOL-USD,1d,OCOI,2024-06-15 00:00:00,2024-06-29 00:00:00,130.42,2024-06-24 00:00:00
SOL-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-28 00:00:00,173.63,2024-03-23 00:00:00
SOL-USD,1d,OCO,2023-01-29 00:00:00,2023-03-14 00:00:00,25.56,2023-02-21 00:00:00
SOL-USD,1d,OCOI,2022-10-02 00:00:00,2022-11-03 00:00:00,28.06,2022-10-22 00:00:00
SOL-USD,1d,OCO,2022-07-08 00:00:00,2022-07-31 00:00:00,44.32,2022-07-19 00:00:00
SOL-USD,1d,OCOI,2021-05-20 00:00:00,2021-05-30 00:00:00,27.99,2021-05-24 00:00:00
SOL-USD,1d,OCO,2021-05-09 00:00:00,2021-05-21 00:00:00,51.39,2021-05-18 00:00:00
SOL-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,157.07,2025-06-16 16:00:00
SOL-USD,4h,OCO,2025-05-09 20:00:00,2025-05-12 04:00:00,176.77,2025-05-11 00:00:00
SOL-USD,4h,OCO,2025-04-23 12:00:00,2025-04-28 08:00:00,154.68,2025-04-25 08:00:00
SOL-USD,4h,OCOI,2025-03-10 00:00:00,2025-03-12 04:00:00,119.18,2025-03-10 20:00:00
SOL-USD,4h,OCOI,2025-02-05 20:00:00,2025-02-08 00:00:00,189.99,2025-02-06 20:00:00
SOL-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,198.78,2025-02-03 04:00:00
SOL-USD,4h,OCOI,2025-01-20 00:00:00,2025-01-23 08:00:00,236.74,2025-01-21 04:00:00
SOL-USD,4h,OCO,2024-09-08 08:00:00,2024-09-12 20:00:00,136.16,2024-09-10 20:00:00
SOL-USD,4h,OCO,2024-09-01 16:00:00,2024-09-04 16:00:00,135.29,2024-09-03 00:00:00
SOL-USD,4h,OCO,2024-07-18 08:00:00,2024-07-24 16:00:00,182.77,2024-07-22 00:00:00
SOL-USD,4h,OCO,2024-07-16 00:00:00,2024-07-18 08:00:00,161.61,2024-07-16 16:00:00
SOL-USD,4h,OCO,2024-05-27 16:00:00,2024-05-30 16:00:00,171.31,2024-05-29 04:00:00
