ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim
BTC-USD,4h,OCO,2024-12-11 20:00:00,2024-12-19 08:00:00,45,240,2024-12-17 08:00:00,106838.46,3204,3249
BTC-USD,4h,OCOI,2024-03-17 00:00:00,2024-03-23 00:00:00,36,240,2024-03-20 00:00:00,61814.55,1585,1621
DOT-USD,1d,OCO,2024-12-25 00:00:00,2025-01-17 00:00:00,23,1440,2025-01-06 00:00:00,7.72,1587,1610
DOT-USD,1d,OCO,2024-11-24 00:00:00,2024-12-13 00:00:00,19,1440,2024-12-07 00:00:00,10.67,1556,1575
DOT-USD,1d,OCOI,2022-11-28 00:00:00,2023-01-19 00:00:00,52,1440,2022-12-29 00:00:00,4.30,829,881
DOT-USD,1d,OCOI,2022-02-14 00:00:00,2022-03-08 00:00:00,22,1440,2022-02-24 00:00:00,16.09,542,564
DOT-USD,1d,OCOI,2021-06-22 00:00:00,2021-07-02 00:00:00,10,1440,2021-06-26 00:00:00,14.48,305,315
DOT-USD,1h,OCOI,2025-01-04 10:00:00,2025-01-06 10:00:00,48,60,2025-01-05 10:00:00,7.55,13281,13329
DOT-USD,1h,OCOI,2024-12-29 23:00:00,2024-12-31 05:00:00,30,60,2024-12-30 16:00:00,6.58,13151,13181
DOT-USD,1h,OCO,2024-12-27 18:00:00,2024-12-30 02:00:00,56,60,2024-12-28 23:00:00,7.12,13098,13154
DOT-USD,1h,OCOI,2024-12-15 22:00:00,2024-12-17 07:00:00,33,60,2024-12-16 12:00:00,8.63,12814,12847
DOT-USD,1h,OCO,2024-07-16 16:00:00,2024-07-18 01:00:00,33,60,2024-07-17 14:00:00,6.49,9160,9193
DOT-USD,1h,OCO,2024-07-13 19:00:00,2024-07-16 00:00:00,53,60,2024-07-15 03:00:00,6.51,9091,9144
DOT-USD,1h,OCOI,2024-06-18 02:00:00,2024-06-20 00:00:00,46,60,2024-06-18 19:00:00,5.64,8474,8520
DOT-USD,1h,OCOI,2024-06-07 19:00:00,2024-06-10 07:00:00,60,60,2024-06-08 23:00:00,6.39,8227,8287
DOT-USD,1h,OCOI,2024-05-23 19:00:00,2024-05-26 06:00:00,59,60,2024-05-24 06:00:00,7.09,7867,7926
DOT-USD,1h,OCOI,2024-04-18 07:00:00,2024-04-20 00:00:00,41,60,2024-04-19 02:00:00,6.44,7015,7056
DOT-USD,1h,OCO,2024-03-29 06:00:00,2024-03-30 05:00:00,23,60,2024-03-29 14:00:00,9.71,6534,6557
DOT-USD,1h,OCO,2024-03-25 05:00:00,2024-03-27 02:00:00,45,60,2024-03-26 10:00:00,10.02,6437,6482
DOT-USD,1h,OCO,2024-03-17 19:00:00,2024-03-18 23:00:00,28,60,2024-03-18 08:00:00,10.35,6259,6287
DOT-USD,1h,OCO,2024-03-14 17:00:00,2024-03-15 07:00:00,14,60,2024-03-15 00:00:00,11.52,6185,6199
DOT-USD,1h,OCOI,2024-02-22 13:00:00,2024-02-24 02:00:00,37,60,2024-02-23 09:00:00,7.31,5677,5714
DOT-USD,1h,OCOI,2024-01-14 04:00:00,2024-01-15 15:00:00,35,60,2024-01-15 00:00:00,7.38,4732,4767
DOT-USD,1h,OCOI,2023-12-10 10:00:00,2023-12-12 17:00:00,55,60,2023-12-11 19:00:00,6.50,3898,3953
DOT-USD,1h,OCOI,2023-06-30 01:00:00,2023-07-02 09:00:00,56,60,2023-06-30 14:00:00,4.93,78,134
DOT-USD,1wk,OCO,2021-09-06 00:00:00,2021-12-27 00:00:00,16,10080,2021-11-08 00:00:00,49.34,54,70
DOT-USD,4h,OCO,2025-04-23 08:00:00,2025-04-29 04:00:00,35,240,2025-04-25 08:00:00,4.32,3975,4010
DOT-USD,4h,OCOI,2025-04-07 08:00:00,2025-04-10 16:00:00,20,240,2025-04-09 00:00:00,3.36,3879,3899
DOT-USD,4h,OCOI,2025-02-13 20:00:00,2025-02-21 20:00:00,48,240,2025-02-18 16:00:00,4.67,3564,3612
DOT-USD,4h,OCOI,2025-01-31 20:00:00,2025-02-04 08:00:00,21,240,2025-02-03 04:00:00,4.52,3486,3507
DOT-USD,4h,OCOI,2025-01-09 08:00:00,2025-01-11 16:00:00,14,240,2025-01-09 20:00:00,6.56,3351,3365
DOT-USD,4h,OCO,2024-11-10 20:00:00,2024-11-13 12:00:00,16,240,2024-11-12 00:00:00,5.64,2994,3010
DOT-USD,4h,OCOI,2024-05-22 20:00:00,2024-05-27 08:00:00,27,240,2024-05-23 20:00:00,7.16,1962,1989
DOT-USD,4h,OCO,2024-05-03 16:00:00,2024-05-08 16:00:00,30,240,2024-05-06 08:00:00,7.34,1847,1877
DOT-USD,4h,OCOI,2024-04-27 12:00:00,2024-05-03 08:00:00,35,240,2024-04-30 16:00:00,6.13,1810,1845
DOT-USD,4h,OCOI,2024-04-16 16:00:00,2024-04-19 04:00:00,15,240,2024-04-17 12:00:00,6.48,1745,1760
DOT-USD,4h,OCO,2024-03-13 08:00:00,2024-03-14 20:00:00,9,240,2024-03-14 08:00:00,11.48,1539,1548
DOT-USD,4h,OCOI,2024-03-08 12:00:00,2024-03-12 12:00:00,24,240,2024-03-10 16:00:00,10.24,1510,1534
DOT-USD,4h,OCO,2023-12-24 12:00:00,2023-12-27 12:00:00,18,240,2023-12-26 00:00:00,9.27,1060,1078
ETH-USD,1d,OCO,2025-05-22 00:00:00,2025-06-04 00:00:00,13,1440,2025-05-28 00:00:00,2672.64,2750,2763
ETH-USD,1d,OCOI,2024-06-29 00:00:00,2024-07-18 00:00:00,19,1440,2024-07-08 00:00:00,2974.06,2423,2442
ETH-USD,1d,OCO,2024-05-22 00:00:00,2024-06-02 00:00:00,11,1440,2024-05-28 00:00:00,3866.13,2385,2396
ETH-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-30 00:00:00,10,1440,2024-03-23 00:00:00,3335.14,2322,2332
ETH-USD,1d,OCOI,2023-12-12 00:00:00,2023-12-26 00:00:00,14,1440,2023-12-20 00:00:00,2189.89,2223,2237
ETH-USD,1d,OCOI,2023-02-25 00:00:00,2023-03-16 00:00:00,19,1440,2023-03-10 00:00:00,1433.91,1933,1952
ETH-USD,1d,OCO,2022-09-29 00:00:00,2022-10-18 00:00:00,19,1440,2022-10-05 00:00:00,1357.48,1784,1803
ETH-USD,1d,OCO,2022-07-29 00:00:00,2022-08-25 00:00:00,27,1440,2022-08-13 00:00:00,1969.29,1722,1749
ETH-USD,1d,OCO,2021-04-06 00:00:00,2021-04-22 00:00:00,16,1440,2021-04-15 00:00:00,2477.11,1243,1259
ETH-USD,1d,OCOI,2020-09-06 00:00:00,2020-10-31 00:00:00,55,1440,2020-09-23 00:00:00,332.81,1031,1086
ETH-USD,1d,OCO,2018-04-24 00:00:00,2018-05-14 00:00:00,20,1440,2018-05-06 00:00:00,804.22,165,185
ETH-USD,1h,OCO,2025-06-15 17:00:00,2025-06-17 03:00:00,34,60,2025-06-16 20:00:00,2662.04,17275,17309
ETH-USD,1h,OCO,2025-01-27 15:00:00,2025-01-29 08:00:00,41,60,2025-01-28 05:00:00,3211.86,13937,13978
ETH-USD,1h,OCO,2025-01-19 02:00:00,2025-01-20 07:00:00,29,60,2025-01-19 18:00:00,3432.84,13732,13761
ETH-USD,1h,OCOI,2025-01-10 16:00:00,2025-01-12 09:00:00,41,60,2025-01-11 08:00:00,3228.64,13530,13571
ETH-USD,1h,OCOI,2025-01-09 14:00:00,2025-01-10 16:00:00,26,60,2025-01-09 21:00:00,3204.29,13504,13530
ETH-USD,1h,OCOI,2024-10-15 12:00:00,2024-10-17 19:00:00,55,60,2024-10-15 15:00:00,2568.79,11439,11494
ETH-USD,1h,OCO,2024-07-20 18:00:00,2024-07-22 20:00:00,50,60,2024-07-22 00:00:00,3540.03,9357,9407
ETH-USD,1h,OCOI,2024-06-17 13:00:00,2024-06-19 15:00:00,50,60,2024-06-18 13:00:00,3398.16,8560,8610
ETH-USD,1h,OCO,2024-04-14 07:00:00,2024-04-16 07:00:00,48,60,2024-04-15 10:00:00,3260.92,7018,7066
ETH-USD,1h,OCO,2024-03-25 19:00:00,2024-03-27 02:00:00,31,60,2024-03-26 09:00:00,3659.17,6550,6581
