ticker,intervalo,tipo_padrao,data_inicio,data_fim,duracao_em_velas,intervalo_em_minutos,data_cabeca,preco_cabeca,idx_inicio,idx_fim,label_humano,altura_rel_cabeca,ratio_ombro_esquerdo,ratio_ombro_direito,ratio_simetria_altura_ombros,neckline_slope
ETH-USD,1d,OCO,2018-04-24 00:00:00,2018-05-14 00:00:00,20,1440,2018-05-06 00:00:00,804.2200,165,185,1.0000,127.4249,0.1296,0.3704,0.3500,1.0044
ETH-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,2642.7600,4325,4363,1.0000,77.9816,0.2544,0.1945,0.7648,31.0356
ETH-USD,4h,OCO,2025-04-12 16:00:00,2025-04-19 20:00:00,43,240,2025-04-14 08:00:00,1654.7500,3951,3994,0.0000,44.6725,2.1443,0.0594,0.0277,34.2312
ETH-USD,4h,OCOI,2025-01-16 20:00:00,2025-01-20 00:00:00,19,240,2025-01-19 08:00:00,3208.6400,3436,3455,0.0000,150.0742,0.0422,1.3409,0.0315,113.5657
ETH-USD,4h,OCOI,2024-11-13 16:00:00,2024-11-18 00:00:00,24,240,2024-11-15 16:00:00,3032.0000,3052,3076,1.0000,152.0980,0.3050,0.3260,0.9355,-22.1662
ETH-USD,4h,OCOI,2023-11-15 00:00:00,2023-11-22 00:00:00,42,240,2023-11-17 16:00:00,1927.6900,863,905,1.0000,33.6300,0.7632,0.0950,0.1244,-32.8270
SOL-USD,1d,OCOI,2025-05-20 00:00:00,2025-06-14 00:00:00,25,1440,2025-06-06 00:00:00,146.2300,1865,1890,0.0000,,,,,
SOL-USD,1d,OCOI,2024-06-15 00:00:00,2024-06-29 00:00:00,14,1440,2024-06-24 00:00:00,130.4200,1526,1540,0.0000,15.3910,0.2809,0.2866,0.9800,-0.3077
SOL-USD,1d,OCOI,2024-03-20 00:00:00,2024-03-28 00:00:00,8,1440,2024-03-23 00:00:00,173.6300,1439,1447,0.0000,13.5548,0.2730,0.2732,0.9995,0.9013
SOL-USD,1d,OCO,2023-01-29 00:00:00,2023-03-14 00:00:00,44,1440,2023-02-21 00:00:00,25.5600,1023,1067,0.0000,2.8077,0.1305,0.0608,0.4659,0.0077
SOL-USD,1d,OCOI,2022-10-02 00:00:00,2022-11-03 00:00:00,32,1440,2022-10-22 00:00:00,28.0600,904,936,1.0000,3.4874,0.1619,0.7963,0.2034,0.1704
SOL-USD,1d,OCO,2022-07-08 00:00:00,2022-07-31 00:00:00,23,1440,2022-07-19 00:00:00,44.3200,818,841,1.0000,,,,,
SOL-USD,1d,OCOI,2021-05-20 00:00:00,2021-05-30 00:00:00,10,1440,2021-05-24 00:00:00,27.9900,404,414,1.0000,10.1838,0.3000,0.2911,0.9704,-1.2026
SOL-USD,1d,OCO,2021-05-09 00:00:00,2021-05-21 00:00:00,12,1440,2021-05-18 00:00:00,51.3900,393,405,0.0000,10.9471,0.1999,0.1928,0.9644,-0.2575
SOL-USD,4h,OCO,2025-06-14 00:00:00,2025-06-20 08:00:00,38,240,2025-06-16 16:00:00,157.0700,4325,4363,1.0000,6.1125,0.9649,0.0683,0.0708,3.4355
SOL-USD,4h,OCO,2025-05-09 20:00:00,2025-05-12 04:00:00,14,240,2025-05-11 00:00:00,176.7700,4114,4128,1.0000,6.0617,0.4800,0.5302,0.9053,1.1649
SOL-USD,4h,OCO,2025-04-23 12:00:00,2025-04-28 08:00:00,29,240,2025-04-25 08:00:00,154.6800,4016,4045,1.0000,7.2879,0.6009,0.2834,0.4717,0.0611
SOL-USD,4h,OCOI,2025-03-10 00:00:00,2025-03-12 04:00:00,13,240,2025-03-10 20:00:00,119.1800,3749,3762,1.0000,9.0242,0.3099,0.3479,0.8909,-1.5608
SOL-USD,4h,OCOI,2025-02-05 20:00:00,2025-02-08 00:00:00,13,240,2025-02-06 20:00:00,189.9900,3556,3569,1.0000,9.7474,0.4630,0.4136,0.8933,-2.6100
SOL-USD,4h,OCOI,2025-01-31 04:00:00,2025-02-04 08:00:00,25,240,2025-02-03 04:00:00,198.7800,3522,3547,0.0000,22.7274,0.2666,0.3231,0.8252,-6.7802
SOL-USD,4h,OCOI,2025-01-20 00:00:00,2025-01-23 08:00:00,20,240,2025-01-21 04:00:00,236.7400,3455,3475,0.0000,24.3855,0.6142,0.5990,0.9752,0.1044
SOL-USD,4h,OCO,2024-09-08 08:00:00,2024-09-12 20:00:00,27,240,2024-09-10 20:00:00,136.1600,2653,2680,0.0000,3.4003,0.1118,1.4598,0.0766,-1.8288
SOL-USD,4h,OCO,2024-09-01 16:00:00,2024-09-04 16:00:00,18,240,2024-09-03 00:00:00,135.2900,2613,2631,1.0000,7.0281,0.7813,0.8670,0.9011,-0.6233
SOL-USD,4h,OCO,2024-07-18 08:00:00,2024-07-24 16:00:00,38,240,2024-07-22 00:00:00,182.7700,2341,2379,0.0000,,,,,
SOL-USD,4h,OCO,2024-07-16 00:00:00,2024-07-18 08:00:00,14,240,2024-07-16 16:00:00,161.6100,2327,2341,0.0000,5.5646,0.5670,0.4546,0.8017,0.3095
SOL-USD,4h,OCO,2024-05-27 16:00:00,2024-05-30 16:00:00,18,240,2024-05-29 04:00:00,171.3100,2031,2049,0.0000,5.1533,0.4859,0.5852,0.8302,-0.5027
SOL-USD,4h,OCOI,2024-05-24 08:00:00,2024-05-28 04:00:00,23,240,2024-05-26 16:00:00,162.6500,2011,2034,0.0000,6.6639,0.4282,0.4208,0.9826,0.0978
SOL-USD,4h,OCOI,2024-04-01 16:00:00,2024-04-04 04:00:00,15,240,2024-04-02 12:00:00,178.5100,1695,1710,0.0000,12.6354,0.2297,0.2569,0.8941,-2.7839
SOL-USD,4h,OCO,2024-02-29 16:00:00,2024-03-04 12:00:00,23,240,2024-03-01 08:00:00,133.5200,1503,1526,0.0000,5.4129,0.6406,0.2628,0.4102,0.3721
SOL-USD,4h,OCOI,2024-02-05 00:00:00,2024-02-07 08:00:00,14,240,2024-02-06 12:00:00,94.8500,1355,1369,1.0000,2.4411,0.8565,0.7384,0.8622,-0.3329
XRP-USD,1d,OCO,2024-05-06 00:00:00,2024-06-07 00:00:00,43,1440,2024-05-25 00:00:00,0.5400,2369,2412,1.0000,0.0137,0.5452,0.9713,0.5613,-0.0012
XRP-USD,1d,OCO,2023-10-25 00:00:00,2023-11-25 00:00:00,31,1440,2023-11-07 00:00:00,0.7000,2175,2206,0.0000,,,,,
XRP-USD,1d,OCO,2022-09-30 00:00:00,2022-10-29 00:00:00,29,1440,2022-10-09 00:00:00,0.5300,1785,1814,0.0000,0.0719,0.3565,0.2599,0.7291,-0.0004
XRP-USD,1d,OCO,2021-11-04 00:00:00,2021-11-20 00:00:00,16,1440,2021-11-09 00:00:00,1.2700,1455,1471,0.0000,0.1345,0.2567,0.2587,0.9922,-0.0069
XRP-USD,1d,OCO,2021-08-28 00:00:00,2021-09-12 00:00:00,15,1440,2021-09-06 00:00:00,1.3500,1387,1402,0.0000,0.2570,0.1444,0.1384,0.9586,-0.0044
XRP-USD,4h,OCOI,2025-05-24 00:00:00,2025-05-27 04:00:00,19,240,2025-05-25 12:00:00,2.2900,4199,4218,0.0000,0.0593,0.6827,0.7461,0.9150,-0.0036
XRP-USD,4h,OCO,2025-04-21 08:00:00,2025-04-24 16:00:00,20,240,2025-04-23 08:00:00,2.2500,4003,4023,0.0000,0.1308,0.4368,0.3743,0.8569,0.0292
XRP-USD,4h,OCO,2025-03-13 08:00:00,2025-03-18 00:00:00,25,240,2025-03-15 12:00:00,2.4300,3770,3795,1.0000,0.1500,0.2617,0.2694,0.9714,0.0180
XRP-USD,4h,OCOI,2025-03-09 16:00:00,2025-03-12 08:00:00,24,240,2025-03-11 00:00:00,2.0400,3748,3772,1.0000,0.1531,0.3439,0.0928,0.2697,-0.0089
XRP-USD,4h,OCOI,2025-02-23 16:00:00,2025-02-26 20:00:00,19,240,2025-02-25 08:00:00,2.1800,3663,3682,0.0000,0.2164,0.2051,0.1656,0.8075,-0.1140
XRP-USD,4h,OCOI,2025-01-29 16:00:00,2025-02-04 08:00:00,34,240,2025-02-03 04:00:00,2.3400,3513,3547,0.0000,0.4640,0.1121,0.2951,0.3798,-0.1098
XRP-USD,4h,OCOI,2024-11-18 20:00:00,2024-11-20 20:00:00,12,240,2024-11-20 04:00:00,1.0800,3082,3094,1.0000,0.0439,2.3192,0.5577,0.2405,-0.0103
XRP-USD,4h,OCO,2024-03-07 20:00:00,2024-03-17 16:00:00,59,240,2024-03-11 20:00:00,0.7200,1546,1605,0.0000,,,,,
XRP-USD,4h,OCOI,2023-11-18 00:00:00,2023-11-27 16:00:00,60,240,2023-11-22 00:00:00,0.5900,879,939,1.0000,0.0378,0.4744,0.0722,0.1522,-0.0009
