ticker,timeframe,strategy,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_contexto_extremos,valid_contexto_tendencia,valid_divergencia_macd,valid_divergencia_obv,valid_divergencia_rsi,valid_divergencia_rsi_strong,valid_estocastico_cross,valid_estocastico_divergencia,valid_estrutura_picos_vales,valid_extremo_cabeca,valid_extremo_secundario_fraco,valid_macd_signal_cross,valid_neckline_plana,valid_neckline_retest_p4,valid_neckline_retest_p6,valid_ombro_direito_fraco,valid_perfil_volume,valid_perfil_volume_decrescente,valid_proeminencia_cabeca,valid_profundidade_vale_pico,valid_simetria_extremos,valid_simetria_ombros,valid_volume_breakout_neckline,p0_idx,p0_preco,p1_idx,p1_preco,p2_idx,p2_preco,p3_idx,p3_preco,p4_idx,p4_preco,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco,retest_p6_idx,retest_p6_preco,p5_idx,p5_preco,p6_idx,p6_preco
EGLD-USD,1h,intraday_momentum,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,12.025219088414275,2025-07-23 00:00:00,18.148134333494934,2025-08-03 00:00:00,13.792756658898938,2025-08-14 00:00:00,16.753853363579353,2025-09-01 18:00:00,14.025559036224315,,,,,,,,,,,,,,,,
ETC-USD,1h,intraday_momentum,TT,95,,,True,True,False,True,False,False,False,False,True,,,False,True,,True,,,True,,True,True,,False,2025-07-02 00:00:00,15.941213081745227,2025-07-21 00:00:00,24.63621267134806,2025-08-03 00:00:00,19.22321911065562,2025-08-14 00:00:00,24.312206992930022,2025-08-20 00:00:00,20.50915320225018,,,,,,,,,,,,,2025-08-23 00:00:00,24.471247382977555,2025-09-01 18:00:00,20.50473474576778
ICP-USD,1h,intraday_momentum,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-02 00:00:00,4.694834250206455,2025-07-22 00:00:00,6.150058629141084,2025-08-03 00:00:00,4.951676203152584,2025-08-14 00:00:00,6.030592504797937,2025-09-01 18:00:00,4.71593943684623,,,,,,,,,,,,,,,,
MANA-USD,1h,intraday_momentum,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-03 00:00:00,0.2671120512633413,2025-08-14 00:00:00,0.32097410879416804,2025-08-20 00:00:00,0.2722484245926382,2025-08-23 00:00:00,0.30659759406493614,2025-09-01 18:00:00,0.2876529317628619,,,,,,,,,,,,,,,,
NEAR-USD,1h,intraday_momentum,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,1.8967218593053334,2025-07-22 00:00:00,3.0251192086181953,2025-08-03 00:00:00,2.347029955191016,2025-08-14 00:00:00,2.9936942774436037,2025-09-01 18:00:00,2.352263381071893,,,,,,,,,,,,,,,,
OP-USD,1h,intraday_momentum,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-08-03 00:00:00,0.6328635124698522,2025-08-14 00:00:00,0.8719001000356986,2025-08-20 00:00:00,0.6868821792341948,2025-08-24 00:00:00,0.8091994214085888,2025-09-01 18:00:00,0.6830744358383015,,,,,,,,,,,,,,,,
VET-USD,1h,intraday_momentum,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-03 00:00:00,0.022215509503292777,2025-08-14 00:00:00,0.026548451516435756,2025-08-20 00:00:00,0.02300960724679428,2025-08-25 00:00:00,0.025992375851607543,2025-09-01 18:00:00,0.023619898042907598,,,,,,,,,,,,,,,,
XRP-USD,1h,intraday_momentum,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,2.013512764553698,2025-07-22 00:00:00,3.55629271011838,2025-08-03 00:00:00,2.769267387192411,2025-08-08 00:00:00,3.3154332521736825,2025-09-01 18:00:00,2.737478036829809,,,,,,,,,,,,,,,,
ZIL-USD,1h,intraday_momentum,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-03 00:00:00,0.010405770752439541,2025-08-14 00:00:00,0.012497110990006957,2025-08-20 00:00:00,0.01073191529323536,2025-08-24 00:00:00,0.012167484522090079,2025-09-01 18:00:00,0.011098657619697272,,,,,,,,,,,,,,,,
EOS-USD,15m,intraday_range,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-08-29 19:00:00,0.48217213292191796,2025-08-31 04:00:00,0.5001169301622065,2025-09-01 05:00:00,0.4807882453519931,2025-09-01 09:00:00,0.497872865700431,2025-09-01 17:00:00,0.4801824704954648,,,,,,,,,,,,,,,,
