ticker,timeframe,strategy,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_contexto_extremos,valid_contexto_tendencia,valid_divergencia_macd,valid_divergencia_obv,valid_divergencia_rsi,valid_divergencia_rsi_strong,valid_estocastico_cross,valid_estocastico_divergencia,valid_estrutura_picos_vales,valid_extremo_cabeca,valid_extremo_secundario_fraco,valid_macd_signal_cross,valid_neckline_plana,valid_neckline_retest_p4,valid_neckline_retest_p6,valid_ombro_direito_fraco,valid_perfil_volume,valid_perfil_volume_decrescente,valid_proeminencia_cabeca,valid_profundidade_vale_pico,valid_simetria_extremos,valid_simetria_ombros,valid_volume_breakout_neckline,p0_idx,p0_preco,p1_idx,p1_preco,p2_idx,p2_preco,p3_idx,p3_preco,p4_idx,p4_preco,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco,retest_p6_idx,retest_p6_preco,p5_idx,p5_preco,p6_idx,p6_preco
THETA-USD,1d,swing_medium,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-23 00:00:00,0.9776835339879028,2025-08-03 00:00:00,0.7286415892658674,2025-08-14 00:00:00,0.9172492345786832,2025-08-20 00:00:00,0.7615908127880339,2025-09-01 00:00:00,0.7811412464420303,,,,,,,,,,,,,,,,
VET-USD,1d,swing_medium,DT,85,,,True,True,True,False,False,False,False,False,True,,True,True,,True,,,,False,,True,True,,False,2025-08-03 00:00:00,0.022215509503292777,2025-08-14 00:00:00,0.026548451516435756,2025-08-20 00:00:00,0.02300960724679428,2025-08-25 00:00:00,0.025992375851607543,2025-09-01 00:00:00,0.02362640196553903,,,,,,,,,,,,,,,,
XRP-USD,1d,swing_medium,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,2.013512764553698,2025-07-22 00:00:00,3.55629271011838,2025-08-03 00:00:00,2.769267387192411,2025-08-08 00:00:00,3.3154332521736825,2025-09-01 00:00:00,2.7436721498200622,,,,,,,,,,,,,,,,
ZIL-USD,1d,swing_medium,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-21 00:00:00,0.013618810088162889,2025-08-03 00:00:00,0.010405770752439541,2025-08-14 00:00:00,0.012497110990006957,2025-08-20 00:00:00,0.01073191529323536,2025-09-01 00:00:00,0.011233111406441107,,,,,,,,,,,,,,,,
DOGE-USD,4h,swing_long,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,0.15114781788974174,2025-07-21 00:00:00,0.27294634200835066,2025-08-03 00:00:00,0.1916269540469158,2025-08-14 00:00:00,0.24549919437970946,2025-09-01 16:00:00,0.21190911232889578,,,,,,,,,,,,,,,,
FLOW-USD,4h,swing_long,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,0.303247503762896,2025-07-21 00:00:00,0.4492532731334246,2025-08-03 00:00:00,0.35273497822197086,2025-08-29 00:00:00,0.4388165228315595,2025-09-01 16:00:00,0.4014044145952778,,,,,,,,,,,,,,,,
VET-USD,1d,swing_long,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-07-22 00:00:00,0.02842580245456641,2025-08-03 00:00:00,0.022215509503292777,2025-08-14 00:00:00,0.026548451516435756,2025-08-20 00:00:00,0.02300960724679428,2025-09-01 00:00:00,0.024164188299964362,,,,,,,,,,,,,,,,
AAVE-USD,1wk,swing_long,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2024-07-14 00:00:00,78.16616689711162,2024-12-29 00:00:00,383.48797792661935,2025-04-13 00:00:00,124.95374312773335,2025-08-24 00:00:00,356.9730798268126,2025-09-07 00:00:00,306.51218237526973,,,,,,,,,,,,,,,,
ALGO-USD,1wk,swing_long,OCO,85,True,True,,,False,,False,False,False,False,,True,,False,True,,True,False,True,,True,,,True,False,2023-09-17 00:00:00,,,,,,,,,,2024-03-17 00:00:00,0.31862247649973874,2024-11-10 00:00:00,0.10914309090537405,2024-12-08 00:00:00,0.5127886219280953,2025-04-13 00:00:00,0.154441446894591,2025-07-20 00:00:00,0.32119621584769675,2025-09-07 00:00:00,0.22867901591496054,,,,
LINK-USD,1wk,swing_long,OCO,90,True,True,,,False,,False,False,True,False,,True,,False,True,,True,False,True,,True,,,True,False,2023-09-17 00:00:00,,,,,,,,,,2024-03-17 00:00:00,21.638352419584805,2024-08-11 00:00:00,9.49453042789809,2024-12-22 00:00:00,29.432030859686797,2025-04-13 00:00:00,10.89326505450453,2025-08-24 00:00:00,26.74635122187289,2025-09-07 00:00:00,22.79178303595125,,,,
LINK-USD,1wk,swing_long,DT,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2024-08-11 00:00:00,9.49453042789809,2024-12-22 00:00:00,29.432030859686797,2025-04-13 00:00:00,10.89326505450453,2025-08-24 00:00:00,26.74635122187289,2025-09-07 00:00:00,22.79178303595125,,,,,,,,,,,,,,,,
LTC-USD,1wk,swing_long,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2024-08-11 00:00:00,56.01645960946845,2025-01-19 00:00:00,136.85856621907038,2025-04-13 00:00:00,68.98458275503194,2025-08-17 00:00:00,130.95841495874757,2025-09-07 00:00:00,108.79668113848342,,,,,,,,,,,,,,,,
QNT-USD,1wk,swing_long,DT,110,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,True,,True,True,,False,2024-11-10 00:00:00,56.05650656641289,2024-12-08 00:00:00,165.8140598202964,2025-04-13 00:00:00,59.79671883480051,2025-07-27 00:00:00,135.0026924325842,2025-09-07 00:00:00,101.0450415147573,,,,,,,,,,,,,,,,
SOL-USD,1wk,swing_long,OCO,128,True,True,,,True,,True,True,False,True,,True,,False,True,,True,False,False,,True,,,True,False,2023-09-17 00:00:00,,,,,,,,,,2024-04-07 00:00:00,202.81432536234064,2024-09-08 00:00:00,124.88794928540135,2025-01-19 00:00:00,262.5615764589647,2025-04-13 00:00:00,105.48654682895575,2025-08-31 00:00:00,214.54958917125032,2025-09-07 00:00:00,199.03184440907478,,,,
XLM-USD,1wk,swing_long,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2024-07-14 00:00:00,0.08376970477753354,2024-12-08 00:00:00,0.5592038262557358,2025-04-13 00:00:00,0.22063896393246105,2025-07-20 00:00:00,0.5029664469411925,2025-09-07 00:00:00,0.352449938558209,,,,,,,,,,,,,,,,
XRP-USD,1wk,swing_long,DT,130,,,True,True,True,True,True,True,False,True,True,,False,False,,True,,,,True,,True,True,,False,2024-10-27 00:00:00,0.500895433917532,2025-01-19 00:00:00,3.3071606262102122,2025-04-13 00:00:00,1.791941720267648,2025-07-27 00:00:00,3.55629271011838,2025-09-07 00:00:00,2.7459930717865864,,,,,,,,,,,,,,,,
ZIL-USD,1wk,swing_long,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2024-12-08 00:00:00,0.03593229113947479,2025-04-13 00:00:00,0.009590449554681883,2025-05-18 00:00:00,0.014971492975361282,2025-06-29 00:00:00,0.00990330329758763,2025-09-07 00:00:00,0.011233111406441107,,,,,,,,,,,,,,,,
DOGE-USD,1d,position_trend,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,0.15114781788974174,2025-07-21 00:00:00,0.27294634200835066,2025-08-03 00:00:00,0.1916269540469158,2025-08-14 00:00:00,0.24549919437970946,2025-09-01 00:00:00,0.21224471376733492,,,,,,,,,,,,,,,,
FLOW-USD,1d,position_trend,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,0.303247503762896,2025-07-21 00:00:00,0.4492532731334246,2025-08-03 00:00:00,0.35273497822197086,2025-08-29 00:00:00,0.4388165228315595,2025-09-01 00:00:00,0.4019281799807679,,,,,,,,,,,,,,,,
NEO-USD,1d,position_trend,TT,90,,,True,True,True,False,False,False,False,False,True,,,True,True,,True,,,True,,True,True,,False,2025-04-03 00:00:00,4.611555734249214,2025-05-14 00:00:00,7.39537640316285,2025-06-23 00:00:00,5.018562764687151,2025-07-21 00:00:00,7.543112526217204,2025-08-03 00:00:00,5.656094756942102,,,,,,,,,,,,,2025-08-25 00:00:00,7.759835474340711,2025-09-01 00:00:00,6.485740992216683
THETA-USD,1d,position_trend,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2025-06-23 00:00:00,0.5983575267026536,2025-07-23 00:00:00,0.9776835339879028,2025-08-03 00:00:00,0.7286415892658674,2025-08-14 00:00:00,0.9172492345786832,2025-09-01 00:00:00,0.7711948725218492,,,,,,,,,,,,,,,,
VET-USD,1d,position_trend,DT,110,,,True,True,True,True,False,False,False,False,True,,True,True,,True,,,,True,,True,True,,False,2025-06-23 00:00:00,0.019282989680413178,2025-07-22 00:00:00,0.02842580245456641,2025-08-03 00:00:00,0.022215509503292777,2025-08-14 00:00:00,0.026548451516435756,2025-09-01 00:00:00,0.02367328626164263,,,,,,,,,,,,,,,,
AVAX-USD,1mo,position_trend,DB,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2021-11-30 00:00:00,134.46974746173134,2023-09-30 00:00:00,8.779631401560618,2024-03-31 00:00:00,60.39187170430152,2025-04-30 00:00:00,15.976458681568712,2025-09-30 00:00:00,23.522948603848686,,,,,,,,,,,,,,,,
BCH-USD,1mo,position_trend,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2021-05-31 00:00:00,1547.0824648622422,2022-11-30 00:00:00,88.58256008701515,2024-04-30 00:00:00,695.3362590897877,2025-04-30 00:00:00,268.92150974970974,2025-09-30 00:00:00,544.8327023700118,,,,,,,,,,,,,,,,
CRO-USD,1mo,position_trend,OCO,85,True,True,,,False,,False,False,False,False,,True,,False,True,,True,False,True,,True,,,True,False,2019-02-28 00:00:00,,,,,,,,,,2019-07-31 00:00:00,0.10411491864100594,2019-12-31 00:00:00,0.025861716041469196,2021-11-30 00:00:00,0.8915442855135514,2023-10-31 00:00:00,0.048990945458024945,2025-08-31 00:00:00,0.3306342317322326,2025-09-30 00:00:00,0.26995768040862234,,,,
DOGE-USD,1mo,position_trend,DT,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2020-03-31 00:00:00,0.0014834682898671341,2021-05-31 00:00:00,0.6818416367796407,2022-06-30 00:00:00,0.0531175932093537,2024-12-31 00:00:00,0.4665030913917874,2025-09-30 00:00:00,0.21241113032647085,,,,,,,,,,,,,,,,
DOT-USD,1mo,position_trend,DB,80,,,True,True,False,False,False,False,False,False,True,,False,False,,True,,,,True,,True,True,,False,2021-11-30 00:00:00,54.14285984546231,2023-10-31 00:00:00,3.650632105878964,2024-03-31 00:00:00,11.46316373625031,2025-06-30 00:00:00,3.155690434118208,2025-09-30 00:00:00,3.7406605099674457,,,,,,,,,,,,,,,,
EGLD-USD,1mo,position_trend,DB,96,,,True,True,True,False,False,False,True,True,True,,False,False,,True,,,,True,,True,True,,False,2021-11-30 00:00:00,488.7063069218159,2023-09-30 00:00:00,22.682022410217964,2024-03-31 00:00:00,74.71227800199082,2025-06-30 00:00:00,12.025219088414275,2025-09-30 00:00:00,14.180421818154063,,,,,,,,,,,,,,,,
ETH-USD,1mo,position_trend,DT,96,,,True,True,True,True,False,False,False,True,True,,False,False,,True,,,,False,,True,True,,False,2022-06-30 00:00:00,995.2525692707909,2024-03-31 00:00:00,4070.6040749869985,2025-04-30 00:00:00,1471.3608854365523,2025-08-31 00:00:00,4829.225541798332,2025-09-30 00:00:00,4345.555941197105,,,,,,,,,,,,,,,,
ETH-USD,1mo,position_trend,TT,130,,,True,True,True,True,True,True,False,True,True,,,False,True,,True,,,True,,True,True,,False,2020-03-31 00:00:00,110.5978978308351,2021-11-30 00:00:00,4815.004634322234,2022-06-30 00:00:00,995.2525692707909,2024-03-31 00:00:00,4070.6040749869985,2025-04-30 00:00:00,1471.3608854365523,,,,,,,,,,,,,2025-08-31 00:00:00,4829.225541798332,2025-09-30 00:00:00,4345.555941197105
HBAR-USD,1mo,position_trend,DT,75,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2020-01-31 00:00:00,0.010077358924666307,2021-09-30 00:00:00,0.5088376840865344,2023-01-31 00:00:00,0.036518934135121466,2025-01-31 00:00:00,0.37543203852338136,2025-09-30 00:00:00,0.21520262513552116,,,,,,,,,,,,,,,,
LDO-USD,1mo,position_trend,DB,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2021-08-31 00:00:00,6.361181766698421,2022-07-31 00:00:00,0.4467626305192214,2024-01-31 00:00:00,3.782530359974777,2025-04-30 00:00:00,0.6270771204468525,2025-09-30 00:00:00,1.1919359145913162,,,,,,,,,,,,,,,,
NEAR-USD,1mo,position_trend,DB,80,,,True,True,False,False,False,False,True,False,True,,True,False,,True,,,,False,,True,True,,False,2022-01-31 00:00:00,20.23676126297608,2023-10-31 00:00:00,0.9867185021762827,2024-03-31 00:00:00,8.815939885339905,2025-06-30 00:00:00,1.8967218593053334,2025-09-30 00:00:00,2.368535722793571,,,,,,,,,,,,,,,,
QNT-USD,1mo,position_trend,DT,90,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,False,,True,True,,False,2022-06-30 00:00:00,44.29885557021513,2022-10-31 00:00:00,207.34157106799503,2024-11-30 00:00:00,56.05650656641289,2024-12-31 00:00:00,165.8140598202964,2025-09-30 00:00:00,101.04290289661324,,,,,,,,,,,,,,,,
SHIB-USD,1mo,position_trend,DB,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2021-10-31 00:00:00,8.190452229022356e-05,2023-06-30 00:00:00,6.5697746065024775e-06,2024-03-31 00:00:00,3.628841023825325e-05,2025-06-30 00:00:00,1.0588172760271078e-05,2025-09-30 00:00:00,1.2187873843059712e-05,,,,,,,,,,,,,,,,
THETA-USD,1mo,position_trend,DB,90,,,True,True,False,False,False,False,True,False,True,,True,False,,True,,,,True,,True,True,,False,2021-04-30 00:00:00,14.10005641603163,2023-10-31 00:00:00,0.5652016187524109,2024-03-31 00:00:00,3.477429581872135,2025-06-30 00:00:00,0.5983575267026536,2025-09-30 00:00:00,0.7811412464420303,,,,,,,,,,,,,,,,
VET-USD,1mo,position_trend,DB,85,,,True,True,False,False,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2021-04-30 00:00:00,0.2607873694036083,2023-06-30 00:00:00,0.01472029052277697,2024-12-31 00:00:00,0.07776334901890973,2025-06-30 00:00:00,0.019282989680413178,2025-09-30 00:00:00,0.024164188299964362,,,,,,,,,,,,,,,,
XMR-USD,1mo,position_trend,DT,100,,,True,True,False,True,False,False,False,False,True,,True,False,,True,,,,True,,True,True,,False,2020-03-31 00:00:00,32.51244849562076,2021-05-31 00:00:00,479.60549079186603,2022-06-30 00:00:00,104.21384409837846,2025-05-31 00:00:00,417.17564867019206,2025-09-30 00:00:00,260.5754431398404,,,,,,,,,,,,,,,,
ADA-USD,1mo,macro_trend_primary,OCO,85,True,True,,,False,,False,False,False,False,,True,,False,True,,True,False,True,,True,,,True,False,2017-11-30 00:00:00,,,,,,,,,,2018-01-31 00:00:00,1.1793470150411156,2020-03-31 00:00:00,0.023715965392713114,2021-09-30 00:00:00,2.96707544958908,2023-09-30 00:00:00,0.24155171741015333,2024-12-31 00:00:00,1.2330018039218942,2025-09-30 00:00:00,0.8072630942407907,,,,
NEO-USD,1mo,macro_trend_primary,DB,106,,,True,True,True,True,False,False,False,True,True,,False,False,,True,,,,True,,True,True,,False,2021-05-31 00:00:00,122.45361062373694,2022-12-31 00:00:00,6.052089627373381,2024-12-31 00:00:00,25.213449515207817,2025-04-30 00:00:00,4.611555734249214,2025-09-30 00:00:00,6.67942989944394,,,,,,,,,,,,,,,,
