ticker,timeframe,padrao_tipo,score_total,valid_base_tendencia,valid_contexto_cabeca,valid_divergencia_macd,valid_divergencia_rsi,valid_extremo_cabeca,valid_neckline_plana,valid_ombro_direito_fraco,valid_perfil_volume,valid_proeminencia_cabeca,valid_simetria_ombros,p0_idx,ombro1_idx,ombro1_preco,neckline1_idx,neckline1_preco,cabeca_idx,cabeca_preco,neckline2_idx,neckline2_preco,ombro2_idx,ombro2_preco
HBAR-USD,1h,OCOI,90,True,True,True,True,True,True,False,False,True,True,2024-03-26 10:00:00,2024-03-27 09:00:00,0.11294983327388763,2024-03-27 13:00:00,0.1182573214173317,2024-03-28 03:00:00,0.11136240512132645,2024-03-28 18:00:00,0.11745824664831161,2024-03-29 07:00:00,0.11267921328544617
HBAR-USD,1h,OCOI,85,True,True,True,True,True,True,True,False,False,True,2024-05-07 00:00:00,2024-05-08 06:00:00,0.10556475818157196,2024-05-08 19:00:00,0.10991138964891434,2024-05-08 23:00:00,0.10518934577703476,2024-05-09 07:00:00,0.11049287766218185,2024-05-09 11:00:00,0.10603467375040054
HBAR-USD,1h,OCOI,100,True,True,True,True,True,True,True,True,True,True,2024-10-01 07:00:00,2024-10-01 20:00:00,0.05214888975024223,2024-10-02 07:00:00,0.05471038818359375,2024-10-03 15:00:00,0.05013403668999672,2024-10-05 00:00:00,0.054979488253593445,2024-10-06 04:00:00,0.05235670879483223
HBAR-USD,1h,OCO,95,True,True,True,True,True,True,False,True,True,True,2024-11-07 14:00:00,2024-11-08 12:00:00,0.052048809826374054,2024-11-08 17:00:00,0.05042076110839844,2024-11-08 19:00:00,0.052749164402484894,2024-11-08 21:00:00,0.050691843032836914,2024-11-08 23:00:00,0.05226515233516693
HBAR-USD,1h,OCO,100,True,True,True,True,True,True,True,True,True,True,2025-01-16 00:00:00,2025-01-16 20:00:00,0.38462984561920166,2025-01-16 23:00:00,0.3605741262435913,2025-01-17 02:00:00,0.3993901014328003,2025-01-17 16:00:00,0.36285677552223206,2025-01-18 00:00:00,0.38357654213905334
HBAR-USD,1h,OCO,85,True,True,True,True,True,True,False,True,False,True,2025-02-13 18:00:00,2025-02-14 14:00:00,0.23811672627925873,2025-02-14 16:00:00,0.22876155376434326,2025-02-14 19:00:00,0.23940260708332062,2025-02-14 22:00:00,0.22786882519721985,2025-02-15 04:00:00,0.23863746225833893
HBAR-USD,1h,OCOI,75,True,True,True,False,True,True,False,False,True,True,2025-04-02 20:00:00,2025-04-02 23:00:00,0.15837827324867249,2025-04-03 03:00:00,0.16664725542068481,2025-04-03 15:00:00,0.15381436049938202,2025-04-04 08:00:00,0.16587701439857483,2025-04-04 11:00:00,0.15743817389011383
HBAR-USD,1h,OCO,85,True,True,True,True,True,True,False,True,False,True,2025-04-09 12:00:00,2025-04-09 18:00:00,0.17516928911209106,2025-04-10 04:00:00,0.16362184286117554,2025-04-10 13:00:00,0.1771238148212433,2025-04-10 15:00:00,0.16595114767551422,2025-04-11 10:00:00,0.17592397332191467
HBAR-USD,1h,OCO,95,True,True,True,True,True,True,True,False,True,True,2025-05-20 18:00:00,2025-05-21 16:00:00,0.2020023912191391,2025-05-21 17:00:00,0.1928286999464035,2025-05-23 02:00:00,0.20867839455604553,2025-05-23 12:00:00,0.19481194019317627,2025-05-23 14:00:00,0.2016800493001938
HBAR-USD,4h,OCOI,70,True,True,False,False,True,True,False,True,True,True,2023-08-15 04:00:00,2023-08-16 08:00:00,0.06139824166893959,2023-08-16 12:00:00,0.06893756240606308,2023-08-17 20:00:00,0.05423503369092941,2023-08-19 16:00:00,0.0682370588183403,2023-08-21 04:00:00,0.06040487065911293
HBAR-USD,4h,OCOI,80,True,True,True,False,True,True,False,True,True,True,2024-05-10 12:00:00,2024-05-10 20:00:00,0.10505778342485428,2024-05-12 16:00:00,0.11185682564973831,2024-05-13 04:00:00,0.10256952047348022,2024-05-13 16:00:00,0.110746830701828,2024-05-15 00:00:00,0.1046261265873909
HBAR-USD,4h,OCO,100,True,True,True,True,True,True,True,True,True,True,2025-05-06 12:00:00,2025-05-11 00:00:00,0.2205008864402771,2025-05-11 16:00:00,0.2018612027168274,2025-05-12 12:00:00,0.22757838666439056,2025-05-13 04:00:00,0.20140786468982697,2025-05-13 16:00:00,0.21828404068946838
